family,model,ablation_a,ablation_b,head,tune,mean_a,mean_b,delta,wilcoxon_stat,wilcoxon_p_raw,t_stat,t_p_raw,shapiro_p_diff,cohen_d_uncorrected,hedges_g,cliffs_delta,n_pairs,p_raw,p_bh_fdr,sig_q05,model_a,model_b,ablation,mean_standard,mean_progressive,head_a,head_b,mean_standard_head,mean_other_head
C_tune_standard_vs_progressive,EfficientNetV2B0,,,standard,,,,0.06620672032707287,0.0,0.0625,44.314884413107386,1.550528941360257e-06,0.7565641929021547,19.818218792550795,15.854575034040636,1.0,5,1.550528941360257e-06,4.459327798501225e-06,True,,,FULL,0.9982879775137345,0.9320812571866617,,,,
C_tune_standard_vs_progressive,EfficientNetV2B0,,,standard,,,,0.06832758400408823,0.0,0.0625,43.089816399360096,1.7341830327504764e-06,0.8636747548233574,19.27035172139088,15.416281377112705,1.0,5,1.7341830327504764e-06,4.459327798501225e-06,True,,,INDOOR,0.9988245815765937,0.9304969975725055,,,,
C_tune_standard_vs_progressive,EfficientNetV2B0,,,standard,,,,0.06952855500191646,0.0,0.0625,56.20773214582123,5.9986168216604e-07,0.74565105620989,25.136861987831278,20.109489590265024,1.0,5,5.9986168216604e-07,3.5991700929962405e-06,True,,,GAN,0.9985179506835313,0.9289893956816149,,,,
C_tune_standard_vs_progressive,MobileNetV3Small,,,standard,,,,0.1548486009965505,0.0,0.0625,50.054447584692284,9.532917665182272e-07,0.7375991265870346,22.38502947511442,17.908023580091534,1.0,5,9.532917665182272e-07,4.289812949332022e-06,True,,,FULL,0.98349303692347,0.8286444359269195,,,,
C_tune_standard_vs_progressive,MobileNetV3Small,,,standard,,,,0.15985690558323762,0.0,0.0625,62.20796587211583,3.999626588263764e-07,0.6973527196641863,27.8202480864076,22.25619846912608,1.0,5,3.999626588263764e-07,3.5991700929962405e-06,True,,,INDOOR,0.9866104510029385,0.8267535454197009,,,,
C_tune_standard_vs_progressive,MobileNetV3Small,,,standard,,,,0.16052127251820614,0.0,0.0625,45.777858749016,1.3619118981957735e-06,0.3056160602990078,20.47248080543665,16.377984644349322,1.0,5,1.3619118981957735e-06,4.459327798501225e-06,True,,,RANDBG,0.9867893190238917,0.8262680465056855,,,,
C_tune_standard_vs_progressive,MobileNetV3Small,,,standard,,,,0.154363102082535,0.0,0.0625,89.42517697360813,9.374541799815633e-08,0.3236367068406631,39.99215492258734,31.993723938069873,1.0,5,9.374541799815633e-08,1.6874175239668139e-06,True,,,GAN,0.9836463523700013,0.8292832502874663,,,,
C_tune_standard_vs_progressive,ResNet50,,,standard,,,,5.110514884365536e-05,7.0,1.0,0.22866478018991437,0.830344303705625,0.42114965351620537,0.10226199851293917,0.08180959881035134,0.2,5,0.830344303705625,0.830344303705625,False,,,FULL,0.9992845279161875,0.9992334227673438,,,,
C_tune_standard_vs_progressive,ResNet50,,,standard,,,,0.00017886802095312682,5.0,0.625,0.8278373543842539,0.45429400348874666,0.42904339231089084,0.37022011974335506,0.29617609579468407,0.2,5,0.45429400348874666,0.4810171801645553,False,,,INDOOR,0.9993100804906094,0.9991312124696563,,,,
C_tune_standard_vs_progressive,ResNet50,,,standard,,,,0.00015331544653118812,2.5,0.5,1.1766968108287765,0.30455878468065173,0.8139521277242519,0.5262348115840709,0.42098784926725674,0.4,5,0.30455878468065173,0.3426286327657332,False,,,RANDBG,0.9997189216813593,0.9995656062348282,,,,
C_tune_standard_vs_progressive,ResNet50,,,standard,,,,0.00015331544653141016,1.5,0.375,1.5,0.208,0.3772224660934465,0.6708203932499368,0.5366563145999494,0.4,5,0.208,0.2496,False,,,GAN,0.9992845279161877,0.9991312124696563,,,,
C_tune_standard_vs_progressive,VGG16,,,standard,,,,0.0006132617861251966,2.0,0.1875,1.6823991293584408,0.16778197403850478,0.266054904103055,0.7523917637063873,0.6019134109651099,0.6,5,0.16778197403850478,0.215719680906649,False,,,FULL,0.9992845279161877,0.9986712661300625,,,,
C_tune_standard_vs_progressive,VGG16,,,standard,,,,0.0009454452536091784,0.0,0.0625,5.425943255789085,0.0055949037075530336,0.9402930310129822,2.426555592400185,1.941244473920148,1.0,5,0.0055949037075530336,0.009155296975995873,True,,,INDOOR,0.9995656062348282,0.998620160981219,,,,
C_tune_standard_vs_progressive,VGG16,,,standard,,,,0.0007921298070779903,0.0,0.0625,6.764754597314973,0.0024910471717824335,0.2362639196391253,3.0252902261400996,2.42023218091208,1.0,5,0.0024910471717824335,0.00448388490920838,True,,,RANDBG,0.9996422639580939,0.9988501341510159,,,,
C_tune_standard_vs_progressive,VGG16,,,standard,,,,0.0005877092117032578,0.0,0.0625,3.4673804626444977,0.02564470895568678,0.3914786226334911,1.5506596836655535,1.240527746932443,1.0,5,0.02564470895568678,0.03631851354207305,True,,,GAN,0.9991056598952346,0.9985179506835313,,,,
D_head_vs_standard,EfficientNetV2B0,,,,,,,0.0008687875303436954,0.0,0.125,3.7207944551191146,0.020460343913490366,0.20706914525922981,1.663989866390126,1.331191893112101,0.8,5,0.020460343913490366,0.020460343913490366,True,,,FULL,,,standard,attention,0.9982879775137345,0.9974191899833909
D_head_vs_standard,EfficientNetV2B0,,,,,,,0.036821259741918966,0.0,0.0625,4.019623539708326,0.015869376394307785,0.0018648368621431944,1.7976302957492285,1.4381042365993828,1.0,5,0.015869376394307785,0.020460343913490366,True,,,FULL,,,standard,spatial_pooling,0.9982879775137345,0.9614667177718156
