config,n_folds,n_folds_complete,acc_mean,acc_std,acc_median,acc_iqr_lo,acc_iqr_hi,acc_ci95_lo,acc_ci95_hi,macro_f1_mean,macro_f1_std,model,ablation,head,tune
VGG16|FULL|standard|progressive,5,True,0.9986712661300625,0.0002649347304628944,0.9987223712789064,0.9987223712789064,0.9988501341510158,0.9984412929602657,0.9988245815765939,0.9986693681981731,0.00026478096885009157,VGG16,FULL,standard,progressive
VGG16|FULL|standard|standard,5,True,0.9992845279161877,0.0007482586157836634,0.9991056598952344,0.9991056598952344,1.0,0.9987479238533281,0.9998211319790469,0.9992837781043514,0.0007489564566845077,VGG16,FULL,standard,standard
VGG16|GAN|standard|progressive,5,True,0.9985179506835313,0.00023209278298949948,0.9984668455346876,0.9984668455346876,0.998594608406797,0.9983390826625783,0.9986968187044845,0.9985163312769348,0.00023197713053471687,VGG16,GAN,standard,progressive
VGG16|GAN|standard|standard,5,True,0.9991056598952346,0.0005641855670326375,0.9992334227673438,0.9987223712789064,0.999616711383672,0.9986712661300625,0.9995400536604064,0.9991046708556575,0.0005640514619962086,VGG16,GAN,standard,standard
VGG16|INDOOR|standard|progressive,5,True,0.998620160981219,0.000330705994775719,0.9987223712789064,0.9983390826625782,0.9988501341510158,0.998364635237,0.9988756867254377,0.9986190124709443,0.00033044662694191063,VGG16,INDOOR,standard,progressive
VGG16|INDOOR|standard|standard,5,True,0.9995656062348282,0.00021378817593818768,0.999616711383672,0.9993611856394532,0.999616711383672,0.999412290788297,0.9997189216813596,0.9995649951610582,0.00021433087595738049,VGG16,INDOOR,standard,standard
VGG16|NO_ALPHA|standard|standard,5,True,0.9984157403858438,0.0003206822639073545,0.9983390826625782,0.9983390826625782,0.9987223712789064,0.9981857672160469,0.9986457135556407,0.9984144827355266,0.00032042539701555373,VGG16,NO_ALPHA,standard,standard
VGG16|NO_SHIFT|standard|standard,5,True,0.9982113197904688,0.0003724895806085241,0.9983390826625782,0.99795579404625,0.9984668455346876,0.9979302414718282,0.9984923981091095,0.998210233791849,0.00037179242606317326,VGG16,NO_SHIFT,standard,standard
VGG16|NO_SYNTH|standard|standard,5,True,0.4569822409607768,0.05245326459455908,0.4668455346876198,0.4133128912737958,0.4801328733869937,0.4176823814999361,0.4989395681614922,0.4011223760506408,0.07359021280000523,VGG16,NO_SYNTH,standard,standard
VGG16|RANDBG|standard|progressive,5,True,0.9988501341510159,0.0002996304944310721,0.9989778970231252,0.9988501341510158,0.9989778970231252,0.9985946084067969,0.9990290021719689,0.9988486694242606,0.00029938868871425087,VGG16,RANDBG,standard,progressive
VGG16|RANDBG|standard|standard,5,True,0.9996422639580939,0.00029134417403835124,0.999616711383672,0.9993611856394532,0.9998722371278906,0.999412290788297,0.9998722371278905,0.9996419838787911,0.00029176333706756787,VGG16,RANDBG,standard,standard
VGG16|RATIO_1X|standard|standard,5,True,0.9982368723648907,0.0005221110704408786,0.9980835569183596,0.9978280311741408,0.9987223712789064,0.9978280311741408,0.9986457135556408,0.9982359956505155,0.0005219830347606468,VGG16,RATIO_1X,standard,standard
VGG16|REMBG_ONLY|standard|standard,5,True,0.9984412929602657,0.0003307059947757189,0.9984668455346876,0.9983390826625782,0.998594608406797,0.9981602146416251,0.9986712661300627,0.9984400997068231,0.00033056203977258807,VGG16,REMBG_ONLY,standard,standard
VGG16|STYLE_TRANSFER|standard|standard,5,True,0.9980324517695159,0.000603333024306518,0.9983390826625782,0.9974447425578128,0.9984668455346876,0.997572505429922,0.9984923981091095,0.9980310923706812,0.0006022530477362498,VGG16,STYLE_TRANSFER,standard,standard
