model,ablation,head,tune,fold,accuracy,macro_f1,weighted_f1
MobileNetV3Small,NO_ALPHA,standard,standard,1,0.9808355691835953,0.9808398634680502,0.9808318307862046
MobileNetV3Small,NO_ALPHA,standard,standard,2,0.9812188577999233,0.9812269384956557,0.9812184496221212
MobileNetV3Small,NO_ALPHA,standard,standard,3,0.9823687236489076,0.9823731042017116,0.9823650239412625
MobileNetV3Small,NO_ALPHA,standard,standard,4,0.8201098760700141,0.817954661262093,0.8179140421609021
MobileNetV3Small,NO_ALPHA,standard,standard,5,0.8134662067203271,0.8130180095969018,0.8130010458525417
MobileNetV3Small,NO_SHIFT,standard,standard,1,0.8234317107448575,0.8226472376995884,0.8226509517792865
MobileNetV3Small,NO_SHIFT,standard,standard,2,0.9817299092883608,0.9817361557964728,0.9817295250239425
MobileNetV3Small,NO_SHIFT,standard,standard,3,0.8195988245815766,0.8179843713031325,0.8179930281118128
MobileNetV3Small,NO_SHIFT,standard,standard,4,0.8161492270346238,0.8144439985278679,0.8144521338205007
MobileNetV3Small,NO_SHIFT,standard,standard,5,0.9826242493931263,0.9826264548835608,0.9826180138351474
MobileNetV3Small,NO_SYNTH,standard,standard,1,0.45854094800051104,0.39571898804021,0.3958078927888844
MobileNetV3Small,NO_SYNTH,standard,standard,2,0.4152293343554363,0.39574000534289433,0.3955806127732342
MobileNetV3Small,NO_SYNTH,standard,standard,3,0.4507474128018398,0.38661343186115166,0.38664600286833206
MobileNetV3Small,NO_SYNTH,standard,standard,4,0.33499425067075506,0.28695974735248625,0.2868459085976845
MobileNetV3Small,NO_SYNTH,standard,standard,5,0.4308164047527788,0.3721826921071985,0.3722696837283245
MobileNetV3Small,RANDBG,standard,progressive,1,0.8332694518972786,0.8317867847014758,0.8317855160175912
MobileNetV3Small,RANDBG,standard,progressive,2,0.8318640603040757,0.8304681703963874,0.8304666656904898
MobileNetV3Small,RANDBG,standard,progressive,3,0.8137217324645458,0.8129309381724842,0.8129362055224615
